collection_name,dataset_id,dataset_title,tissue,disease,tissue_general,organism
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,1873a18a-66fd-4a4d-8277-a872c93f5b59,All cells types from snRNA-seq of human primary sclerosing cholangitis patients and healthy controls,caudate lobe of liver,primary sclerosing cholangitis;primary biliary cholangitis;normal,liver,Homo sapiens
Construction of a human cell landscape at single-cell level,2adb1f8a-a6b1-4909-8ee8-484814e2d4bf,Construction of a human cell landscape at single-cell level,adipose tissue;adrenal gland;artery;ascending colon;bladder organ;bone marrow;cerebellum;uterine cervix;transverse colon;duodenum;vermiform appendix;esophagus;fallopian tube;heart;ileum;kidney;liver;lung;muscle organ;omentum;pancreas;blood;pleura;prostate gland;rectum;sigmoid colon;spleen;stomach;temporal lobe;thyroid gland;trachea;ureter;uterus;chorionic villus;umbilical cord blood;brain;vault of skull;ovary;intestine;testis;rib;skin of body;spinal cord;thymus;placenta;gallbladder;jejunum;eye,normal,adipose tissue;adrenal gland;vasculature;colon;bladder organ;bone marrow;brain;uterus;small intestine;large intestine;esophagus;fallopian tube;heart;kidney;liver;lung;musculature;omentum;pancreas;blood;pleura;prostate gland;spleen;stomach;endocrine gland;respiratory system;ureter;embryo;skeletal system;ovary;intestine;testis;skin of body;spinal cord;placenta;gallbladder;eye,Homo sapiens
A single-cell atlas of human and mouse white adipose tissue,ca46ffe6-0a26-4d8d-82fa-81722daf1102,A Single-Cell Atlas of Human White Adipose Tissue,omental fat pad;subcutaneous adipose tissue,normal,adipose tissue,Homo sapiens
Single-nucleus cross-tissue molecular reference maps to decipher disease gene function,4ed927e9-c099-49af-b8ce-a2652d069333,Single-nucleus cross-tissue molecular reference maps to decipher disease gene function,gastrocnemius;breast;mucosa;esophagus muscularis mucosa;anterior wall of left ventricle;lingula of left lung;prostate gland;skin of leg,normal,musculature;breast;mucosa;esophagus;heart;lung;prostate gland;skin of body,Homo sapiens
Human Brain Cell Atlas v1.0,f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,Dissection: Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,cerebral cortex,normal,brain,Homo sapiens
Unified comprehensive single-cell atlas of the mouse retina,40e25c08-8d33-4768-89dd-501def6191d7,MRCA: scRNA-seq of the mouse retina - bipolar cell subclass,retina,normal,eye,Mus musculus
Single-cell multiomic analysis of thymocyte development reveals drivers of CD4+ T cell and CD8+ T cell lineage commitment,8d819c30-9759-41b4-9871-8acddfadb0bc,Single-cell multi-omic analysis of positively selected thymocytes,thymus,normal,endocrine gland,Mus musculus
A spatial human thymus cell atlas mapped to a continuous tissue axis,cfcec0ab-909c-4334-9683-b275e0b4dcc0,thymus scRNA-seq atlas - T cell subset,thymus,normal,endocrine gland,Homo sapiens
CITEseq of JDM PBMCs,a199ca73-035d-44e2-9893-4c493151db21,CITEseq of JDM PBMCs,blood,juvenile dermatomyositis;normal,blood,Homo sapiens
A Cellular atlas of the human fallopian tube reveals the metamorphosis of secretory epithelial cells during the menstrual cycle and menopause,0436a180-cb44-47ba-8ffa-807b7a468469,Fallopian tube samples from pre- and post-menopausal humans,ampulla of fallopian tube;fimbria of fallopian tube,normal,fallopian tube,Homo sapiens
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,f95d8919-1f2a-405f-8776-bfecc0ab0f3f,Kidney,cortex of kidney;renal medulla;renal papilla;kidney;renal pelvis,normal,kidney,Homo sapiens
A single-cell atlas of human and mouse white adipose tissue,a2da8d7b-54a8-47d1-a0d3-aafcd0535f00,A Single-Cell Atlas of Mouse White Adipose Tissue,inguinal fat pad;periovarian fat pad;epididymal fat pad,normal,adipose tissue,Mus musculus
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,576f193c-75d0-4a11-bd25-8676587e6dc2,Combined samples,lung;pleural effusion;lymph node;adrenal gland;liver;axilla;brain;bone spine,small cell lung carcinoma;lung adenocarcinoma;normal,lung;pleural fluid;lymph node;adrenal gland;liver;axilla;brain;skeletal system,Homo sapiens
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,72f4798d-ba94-48ec-be01-9bb8a1f11f56,Spleen,spleen,normal,spleen,Homo sapiens
HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,e40c6272-af77-4a10-9385-62a398884f27,Discovery (DIS) set of human colorectal tumor: Epithelial,transverse colon;hepatic flexure of colon;ascending colon;hepatic cecum;descending colon;rectum;sigmoid colon,tubular adenoma;normal;colon sessile serrated adenoma/polyp;tubulovillous adenoma;hyperplastic polyp;colorectal neoplasm,colon;intestine;large intestine,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,6c87755e-a671-41a8-9c7e-4e43b850a57b,Fresh samples (single cell),liver;bone spine;breast;neck;axilla;lung,breast cancer,liver;skeletal system;breast;neck;axilla;lung,Homo sapiens
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,cbec7853-d996-4493-bbf8-5d82857a4e51,Intestine,jejunum;ascending colon;ileum;transverse colon;descending colon;duodenum;sigmoid colon;vermiform appendix;caecum;rectum;small intestine;large intestine;colonic epithelium,normal,small intestine;colon;large intestine,Homo sapiens
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",b64ba72d-addb-4129-a572-c001699a0747,Major cell cluster: Neural crest (PNS neurons),embryo,normal,embryo,Mus musculus
A human embryonic limb cell atlas resolved in space and time,e595c979-c2de-4dad-8c02-8334a8e56de6,human_limb_scRNAseq,hindlimb;forelimb,normal,hindlimb;forelimb,Homo sapiens
An atlas of healthy and injured cell states and niches in the human kidney,07854d9c-5375-4a9b-ac34-fa919d3c3686,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),renal medulla;cortex of kidney;renal papilla,chronic kidney disease;acute kidney failure;normal,kidney,Homo sapiens
Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer,5af90777-6760-4003-9dba-8f945fec6fdf,Single-cell transcriptomic datasets of Renal cell carcinoma patients,blood;adrenal tissue;kidney;perirenal fat;vein,normal;nonpapillary renal cell carcinoma;kidney oncocytoma;kidney benign neoplasm,blood;adrenal gland;kidney;adipose tissue;vasculature,Homo sapiens
Abdominal White Adipose Tissue,9d8e5dca-03a3-457d-b7fb-844c75735c83,22 integrated samples,subcutaneous abdominal adipose tissue;visceral abdominal adipose tissue,normal,adipose tissue,Homo sapiens
Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease,8f4f8502-9170-4ac2-9707-3b6985ebfe5f,Carebank,right atrium auricular region,normal;atrial fibrillation,heart,Homo sapiens
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,1d89d081-f43d-401a-be76-bd6ef9259f4e,Liver,caudate lobe of liver;liver,normal,liver,Homo sapiens
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",8785f5ab-7d97-4b0d-9c56-636c63e151ab,Major cell cluster: Neural crest (PNS glia),embryo,normal,embryo,Mus musculus
Insulin is expressed by enteroendocrine cells during human fetal development,3f32121d-126b-4e8d-9f69-d86502d2a1b1,fetal and neonatal human small intestine cells,small intestine,normal,small intestine,Homo sapiens
A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,019c7af2-c827-4454-9970-44d5e39ce068,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,jejunum;ascending colon;ileum;transverse colon;descending colon;duodenum,normal,small intestine;colon,Homo sapiens
Comprehensive cell atlas of the first-trimester developing human brain,bfbd9097-65a2-4019-aff3-f875aca51952,Midbrain,cerebellar peduncular complex;midbrain tectum;midbrain,normal,brain,Homo sapiens
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,486486d4-9462-43e5-9249-eb43fa5a49a6,T cells,lung;adrenal gland;pleural effusion;liver;brain;axilla;lymph node;bone spine,small cell lung carcinoma;lung adenocarcinoma;normal,lung;adrenal gland;pleural fluid;liver;brain;axilla;lymph node;skeletal system,Homo sapiens
Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19,21d3e683-80a4-4d9b-bc89-ebb2df513dde,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Adaptive Cells,blood,normal;COVID-19,blood,Homo sapiens
Blood and immune development in human fetal bone marrow and Down syndrome,1a2e3350-28a8-4f49-b33c-5b67ceb001f6,Fetal Bone Marrow (10x),bone marrow,normal,bone marrow,Homo sapiens
Cross-tissue immune cell analysis reveals tissue-specific features in humans,ae29ebd0-1973-40a4-a6af-d15a5f77a80f,T & innate lymphoid cells,ileum;lung;thoracic lymph node;mesenteric lymph node;bone marrow;skeletal muscle tissue;liver;spleen;omentum;caecum;thymus;duodenum;blood;transverse colon;sigmoid colon;lamina propria;jejunal epithelium,normal,small intestine;lung;lymph node;bone marrow;musculature;liver;spleen;omentum;colon;endocrine gland;blood;lamina propria,Homo sapiens
A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,96a3f64b-0ee9-40d8-91e9-813ce38261c9,COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,blood,COVID-19;normal,blood,Homo sapiens
Mapping the developing human immune system across organs,aa633105-e8e5-4dcc-b72d-6da6c191b3e9,NK/T cells,skin of body;spleen;yolk sac;liver;thymus;gut wall;bone marrow;kidney;mesenteric lymph node,normal,skin of body;spleen;yolk sac;liver;endocrine gland;digestive system;bone marrow;kidney;lymph node,Homo sapiens
A Coding and Non-Coding Atlas of the Human Arterial Cell,43245158-5ae1-4e71-a9a6-67eef49c26bc,scRNA-seq of vascular tissue,right coronary artery;ascending aorta;arch of aorta;descending aorta;abdominal aorta;iliac artery;pulmonary artery;carotid artery segment;coronary artery;bulb of aorta,normal,heart;vasculature,Homo sapiens
Thyroid hormone remodels cortex to coordinate body-wide metabolism and exploration,12990215-ad1a-4106-8536-7388327a616f,Single-nucleus RNA sequencing of M2: T3 vs control,cerebral cortex,normal,brain,Mus musculus
An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),dea717d4-7bc0-4e46-950f-fd7e1cc8df7d,Single-cell RNA-seq of the Adult Human Kidney (Version 1.5),kidney,normal;acute kidney failure;chronic kidney disease,kidney,Homo sapiens
Spatial multi-omic map of human myocardial infarction,1c739a3e-c3f5-49d5-98e0-73975e751201,All-snRNA-Spatial multi-omic map of human myocardial infarction,heart left ventricle,normal;myocardial infarction,heart,Homo sapiens
Mapping the developing human immune system across organs,804d9a85-665b-45c6-b204-13457fdcc7ac,Megakaryocyte/erythroid cells,skin of body;spleen;yolk sac;liver;thymus;gut wall;bone marrow;kidney;mesenteric lymph node,normal,skin of body;spleen;yolk sac;liver;endocrine gland;digestive system;bone marrow;kidney;lymph node,Homo sapiens
"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls",3b8b5de4-3aa1-4ac6-8890-8d03c8219981,Frontal cortex samples from C9-FTD and age matched control brains,frontal cortex,normal;frontotemporal dementia,brain,Homo sapiens
A spatial human thymus cell atlas mapped to a continuous tissue axis,29244e1d-02e6-4133-b411-516ef7474638,thymus scRNA-seq atlas,thymus,normal,endocrine gland,Homo sapiens
A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f,All cells and nuclei,lower lobe of left lung;trachea;bronchus;upper lobe of left lung;lung,normal,lung;respiratory system,Homo sapiens
A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation,812fa7bd-db15-4357-b2c9-efc8e1eb0450,Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4),primary visual cortex;primary somatosensory cortex;prefrontal cortex;anterior cingulate cortex;subicular complex;lateral entorhinal cortex;retrosplenial region;frontal cortex;primary motor cortex;hippocampal formation;secondary somatosensory cortex;agranular insular cortex;temporal cortex;visual cortex;medial entorhinal cortex;posterior parietal association areas;medial orbital frontal cortex;gustatory cortex;auditory cortex;claustrum of brain,normal,brain,Mus musculus
Tabula Sapiens,a68b64d8-aee3-4947-81b7-36b8fe5a44d2,Tabula Sapiens - Stromal,liver;trachea;lymph node;parotid gland;posterior part of tongue;mammary gland;endometrium;myometrium;eye;adipose tissue;subcutaneous adipose tissue;skin of body;cardiac atrium;cardiac ventricle;exocrine pancreas;prostate gland;skin of abdomen;skin of chest;lacrimal gland;uterus;tongue;muscle of pelvic diaphragm;rectus abdominis muscle;anterior part of tongue;sublingual gland;thymus;cornea;retinal neural layer;sclera;bladder organ;large intestine;lung;small intestine;muscle of abdomen;vasculature;coronary artery;muscle tissue;endocrine pancreas;aorta,normal,liver;respiratory system;lymph node;exocrine gland;tongue;uterus;eye;adipose tissue;skin of body;heart;pancreas;prostate gland;musculature;endocrine gland;bladder organ;large intestine;lung;small intestine;vasculature,Homo sapiens
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,d86edd6a-4b5d-437a-ad80-1fd976a5e23a,Blood,blood,normal,blood,Homo sapiens
An atlas of healthy and injured cell states and niches in the human kidney,32b9bdce-2481-4c85-ba1b-6ad5fcea844c,Single-cell RNA-seq of the Adult Human Kidney (Version 1.0),kidney,acute kidney failure;chronic kidney disease;normal,kidney,Homo sapiens
Single-cell roadmap of human gonadal development,4fb330ab-2d74-4649-b58f-7ffef457efdf,Human Somatic Cell Lineage,gonad,normal,reproductive system,Homo sapiens
An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types,5e765f97-1cf1-407e-a86c-e28701f4749d,An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types: 10X_cells_v3_AIBS,primary motor cortex,normal,brain,Mus musculus
Single-cell roadmap of human gonadal development,ac2fea99-ce08-4fca-8d03-a19f37bf21a3,Human Immune Cell Lineage,gonad,normal,reproductive system,Homo sapiens
A transcriptomic atlas of the mouse cerebellum reveals regional specializations and novel cell types,e0ed3c55-aff6-4bb7-b6ff-98a2d90b890c,A transcriptomic atlas of the mouse cerebellum,cerebellum,normal,brain,Mus musculus
A molecular cell atlas of COVID-19 initiation in human lung,7b55fe5c-d5c8-48e0-a1a3-54c5b9074f3f,All annotated cells from infection 3,lower lobe of left lung,COVID-19,lung,Homo sapiens
Protracted Neuronal Recruitment in the Temporal Lobe of Young Children,ecce9688-66ea-4600-98f7-84aed7421c01,Subpallial germinal zones and the developing human entorhinal cortex,entorhinal cortex;ganglionic eminence,normal,brain;embryo,Homo sapiens
An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types,c88e2a9c-72b8-4a88-a2f6-e428eada0c86,An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types: 10X_cells_v2_AIBS,primary motor cortex,normal,brain,Mus musculus
"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls",0bc7235a-ae5a-479d-a487-510435377e55,"Occipital cortex samples from C9-ALS, C9-ALS/FTD and age matched control brains",occipital cortex,amyotrophic lateral sclerosis;amyotrophic lateral sclerosis 26 with or without frontotemporal dementia;normal,brain,Homo sapiens
Transcriptomic cytoarchitecture reveals principles of human neocortex organization,5bdc423a-59e6-457d-aa01-debd2c9c564f,Dissection: Primary motor cortex (M1),primary motor cortex,normal,brain,Homo sapiens
Molecular and spatial signatures of mouse brain aging at single-cell resolution,3bbb6cf9-72b9-41be-b568-656de6eb18b5,BrainAgingSpatialAtlas_snRNAseq,brain,normal,brain,Mus musculus
Transcriptomic cytoarchitecture reveals principles of human neocortex organization,f5b0810c-1664-4a62-ad06-be1d9964aa8b,Dissection: Angular gyrus (AnG),angular gyrus,normal,brain,Homo sapiens
Transcriptomic cytoarchitecture reveals principles of human neocortex organization,716a4acc-919e-4326-9672-ebe06ede84e6,Dissection: Dorsolateral prefrontal cortex (DFC),dorsolateral prefrontal cortex,normal,brain,Homo sapiens
Tabula Muris Senis,98e5ea9f-16d6-47ec-a529-686e76515e39,All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,skin of body;pancreas;limb muscle;heart;spleen;diaphragm;trachea;tongue;thymus;brain;bladder lumen;large intestine;brown adipose tissue;gonadal fat pad;mesenteric fat pad;subcutaneous adipose tissue;lung;liver;bone marrow;kidney;aorta;mammary gland,normal,skin of body;pancreas;musculature;heart;spleen;respiratory system;tongue;endocrine gland;brain;urinary bladder;large intestine;adipose tissue;lung;liver;bone marrow;kidney;vasculature;exocrine gland,Mus musculus
Mapping the developing human immune system across organs,3affa268-8a74-460a-ac9b-a984c0832469,Lymphoid cells,skin of body;spleen;yolk sac;liver;thymus;gut wall;bone marrow;kidney;mesenteric lymph node,normal,skin of body;spleen;yolk sac;liver;endocrine gland;digestive system;bone marrow;kidney;lymph node,Homo sapiens
Tabula Sapiens,97a17473-e2b1-4f31-a544-44a60773e2dd,Tabula Sapiens - Epithelial,liver;trachea;parotid gland;anterior part of tongue;posterior part of tongue;mammary gland;endometrium;myometrium;eye;conjunctiva;skin of body;cardiac atrium;cardiac ventricle;exocrine pancreas;prostate gland;skin of abdomen;skin of chest;lacrimal gland;uterus;tongue;sublingual gland;thymus;cornea;retinal neural layer;sclera;bladder organ;large intestine;lung;small intestine;kidney;endocrine pancreas;aorta,normal,liver;respiratory system;exocrine gland;tongue;uterus;eye;skin of body;heart;pancreas;prostate gland;endocrine gland;bladder organ;large intestine;lung;small intestine;kidney;vasculature,Homo sapiens
A molecular cell atlas of COVID-19 initiation in human lung,7f7faf6b-f11d-4f07-bc1c-188a4472748d,All annotated cells from infection 2,upper lobe of left lung,COVID-19,lung,Homo sapiens
A cell atlas of human thymic development defines T cell repertoire formation,cda2c8cd-be1c-42e5-b2cd-162caa1c4ce7,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,thymus,normal,endocrine gland,Homo sapiens
Single cell atlas of the human retina,be41a86a-b606-4b1c-8055-32f334898775,scRNA-seq of human retina - all cells,macula lutea proper;peripheral region of retina;fovea centralis;chorioretinal region;retinal neural layer,normal,eye,Homo sapiens
A (Balanced) Bone Marrow Reference Map of Hematopoietic Development,cd2f23c1-aef1-48ae-8eb4-0bcf124e567d,A (Balanced) Bone Marrow Reference Map of Hematopoietic Development,bone marrow,normal,bone marrow,Homo sapiens
Transcriptomic cytoarchitecture reveals principles of human neocortex organization,a5d5c529-8a1f-40b5-bda3-35208970070d,Human Multiple Cortical Areas SMART-seq,middle temporal gyrus;primary visual cortex;anterior cingulate gyrus;primary motor cortex;primary somatosensory cortex;primary auditory cortex,normal,brain,Homo sapiens
Mapping the developing human immune system across organs,2aa1c93c-4ef3-4e9a-98e7-0bd37933953c,Myeloid cells,skin of body;spleen;yolk sac;liver;thymus;gut wall;bone marrow;kidney;mesenteric lymph node,normal,skin of body;spleen;yolk sac;liver;endocrine gland;digestive system;bone marrow;kidney;lymph node,Homo sapiens
Integrated analysis of multimodal single-cell data,ed5d841d-6346-47d4-ab2f-7119ad7e3a35,nygc multimodal pbmc,blood,normal,blood,Homo sapiens
Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,7bb64315-9e5a-41b9-9235-59acf9642a3e,UMAP of Cancer Data integration,body of stomach;cardia of stomach;ileum;esophagogastric junction;lower esophagus;submucosal esophageal gland;duodenum;rectum;colon,gastric intestinal metaplasia;gastric cancer;normal;gastritis;Barrett esophagus,stomach;small intestine;esophagogastric junction;esophagus;large intestine;colon,Homo sapiens
A molecular cell atlas of COVID-19 initiation in human lung,7c497c66-c2e2-4291-8b96-339e5e65f314,All annotated cells from infection 4,upper lobe of left lung,COVID-19,lung,Homo sapiens
Single-cell roadmap of human gonadal development,18e2a8c5-33f7-455e-a58a-b2ba6921db27,Human Female,gonad,normal,reproductive system,Homo sapiens
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,493a8b60-d676-44d1-b022-d14c1ad0b36c,Lung,lung;lower lobe of left lung;bronchus;upper lobe of left lung;lung parenchyma,normal,lung;respiratory system,Homo sapiens
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",c34e5efb-9ea9-418d-9e90-601eff87dd80,Major cell cluster: White blood cells,embryo,normal,embryo,Mus musculus
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,f64e1be1-de15-4d27-8da4-82225cd4c035,Immune cells,lung;adrenal gland;pleural effusion;liver;lymph node;brain;axilla;bone spine,small cell lung carcinoma;lung adenocarcinoma;normal,lung;adrenal gland;pleural fluid;liver;lymph node;brain;axilla;skeletal system,Homo sapiens
Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease,f1606894-59df-4794-a37f-baa7c6fb6de1,Periheart,right atrium auricular region,normal;atrial fibrillation,heart,Homo sapiens
An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types,a9affc92-a291-4eb9-996f-147392132323,An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types: 10X_nuclei_v3_Broad,primary motor cortex,normal,brain,Mus musculus
Comprehensive cell atlas of the first-trimester developing human brain,675873e1-3f1d-4bd5-9fad-3ce8a5ad98e1,Telencephalon,cortex;forebrain;striatum;telencephalon;lower layers of the cortex;occipital cortex;frontal cortex;caudate-putamen;entorhinal cortex;hippocampal formation;upper layers of the cortex;choroid plexus epithelium,normal,cortex;brain,Homo sapiens
Developmental trajectories of thalamic nuclei revealed by single-cell transcriptome profiling and Shh perturbation,79a2344d-eddd-45b1-b376-39eddfab1899,Atlas of the developing mouse thalamus,diencephalon,normal,brain,Mus musculus
An atlas of healthy and injured cell states and niches in the human kidney,0b75c598-0893-4216-afe8-5414cab7739d,Integrated Single-nucleus and Single-cell RNA-seq of the Adult Human Kidney,renal medulla;cortex of kidney;renal papilla;kidney,chronic kidney disease;acute kidney failure;normal,kidney,Homo sapiens
Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,All — Cells of the adult human heart,apex of heart;left cardiac atrium;heart left ventricle;right cardiac atrium;heart right ventricle;interventricular septum,normal,heart,Homo sapiens
Cross-tissue immune cell analysis reveals tissue-specific features in humans,1b9d8702-5af8-4142-85ed-020eb06ec4f6,Global,ileum;lung;thoracic lymph node;mesenteric lymph node;bone marrow;skeletal muscle tissue;liver;spleen;omentum;caecum;thymus;duodenum;blood;transverse colon;sigmoid colon;lamina propria;jejunal epithelium,normal,small intestine;lung;lymph node;bone marrow;musculature;liver;spleen;omentum;colon;endocrine gland;blood;lamina propria,Homo sapiens
Transcriptomic cytoarchitecture reveals principles of human neocortex organization,e2808a6e-e2ea-41b9-b38c-4a08f1677f02,Dissection: Primary auditory cortex(A1),primary auditory cortex,normal,brain,Homo sapiens
An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5),a12ccb9b-4fbe-457d-8590-ac78053259ef,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.5),cortex of kidney;renal papilla;renal medulla;kidney,normal;chronic kidney disease;acute kidney failure,kidney,Homo sapiens
Transcriptomic cytoarchitecture reveals principles of human neocortex organization,be401db3-d732-408a-b0c4-71af0458b8ab,Dissection: Anterior cingulate cortex (ACC),anterior cingulate cortex,normal,brain,Homo sapiens
Transcriptomic cytoarchitecture reveals principles of human neocortex organization,015c230d-650c-4527-870d-8a805849a382,Dissection: Middle temporal gyrus (MTG),middle temporal gyrus,normal,brain,Homo sapiens
Thyroid hormone remodels cortex to coordinate body-wide metabolism and exploration,1229ecc2-b067-4664-91da-0251aec31574,Single-nucleus RNA sequencing of M2: WT-THR vs DN-THR,cerebral cortex,normal,brain,Mus musculus
ScaleBio Single Cell RNA Sequencing of Human PBMCs,2c820d53-cbd7-4e0a-be7a-a0ad1989a98f,ScaleBio Single Cell RNA Sequencing of Human PBMCs,blood,normal,blood,Homo sapiens
Transcriptomic cytoarchitecture reveals principles of human neocortex organization,93cb76aa-a84b-4a92-8e6c-66a914e26d4c,Dissection: Primary somatosensory cortex (S1),primary somatosensory cortex,normal,brain,Homo sapiens
A human embryonic limb cell atlas resolved in space and time,4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670,mouse_limb_scRNAseq,forelimb;hindlimb,normal,forelimb;hindlimb,Mus musculus
Human breast cell atlas,be35c935-ee4f-475c-9d3c-97630d59a735,HBCA - stroma,breast,normal,breast,Homo sapiens
Single-cell multiomic analysis of thymocyte development reveals drivers of CD4+ T cell and CD8+ T cell lineage commitment,c14c54f8-85d8-45db-9de7-6ab572cc748a,Single-cell multi-omic analysis of thymocyte development reveals drivers of CD4/CD8 lineage commitment,thymus,normal,endocrine gland,Mus musculus
Local and systemic responses to SARS-CoV-2 infection in children and adults,edc8d3fe-153c-4e3d-8be0-2108d30f8d70,Airway,nasal cavity;bronchus;trachea,normal;COVID-19,nose;respiratory system,Homo sapiens
Unified comprehensive single-cell atlas of the mouse retina,23f77ae6-10af-4307-b136-76b26654ae7d,MRCA: scRNA-seq of the mouse retina - all cells,retina;optic cup,normal,eye;optic cup,Mus musculus
Spatial multiomics map of trophoblast development in early pregnancy,74cff64f-9da9-4b2a-9b3b-8a04a1598040,All donors all cell states (in vivo),decidua;blood;placenta;decidua basalis,normal,placenta;blood,Homo sapiens
Tabula Muris Senis,48b37086-25f7-4ecd-be66-f5bb378e3aea,All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,tongue;heart;bone marrow;mammary gland;adipose tissue;kidney;liver;lung;limb muscle;pancreas;spleen;thymus;bladder lumen;skin of body;large intestine;trachea,normal,tongue;heart;bone marrow;exocrine gland;adipose tissue;kidney;liver;lung;musculature;pancreas;spleen;endocrine gland;urinary bladder;skin of body;large intestine;respiratory system,Mus musculus
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,a6858c10-c52a-4a1d-bc12-a90dbd51ca66,Epithelial cells,pleural effusion;lymph node;lung;axilla;adrenal gland;brain;bone spine;liver,small cell lung carcinoma;normal;lung adenocarcinoma,pleural fluid;lymph node;lung;axilla;adrenal gland;brain;skeletal system;liver,Homo sapiens
Comparative transcriptomics reveals human-specific cortical features,2bdd3a2c-2ff4-4314-adf3-8a06b797a33a,Human: Great apes study,middle temporal gyrus,normal,brain,Homo sapiens
Mapping the developing human immune system across organs,d0c12af4-c0e4-4c7b-873a-70752b449689,Stromal cells (all non-immune cells),skin of body;spleen;yolk sac;liver;thymus;gut wall;bone marrow;kidney;mesenteric lymph node,normal,skin of body;spleen;yolk sac;liver;endocrine gland;digestive system;bone marrow;kidney;lymph node,Homo sapiens
"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls",98f5d518-1e60-4307-b732-ab045cd3cbc2,"Frontal cortex samples from C9-ALS, C9-ALS/FTD and age matched control brains",frontal cortex,amyotrophic lateral sclerosis;amyotrophic lateral sclerosis 26 with or without frontotemporal dementia;normal,brain,Homo sapiens
HypoMap – a unified single cell gene expression atlas of the murine hypothalamus,dbb4e1ed-d820-4e83-981f-88ef7eb55a35,HypoMap – a unified single cell gene expression atlas of the murine hypothalamus,hypothalamus,normal,brain,Mus musculus
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",361eef7c-ea8b-4289-95ee-2cffa42c0353,Major cell cluster: Endothelium,embryo,normal,embryo,Mus musculus
"Mouse pancreatic islet scRNA-seq atlas across sexes, ages, and stress conditions including diabetes",49e4ffcc-5444-406d-bdee-577127404ba8,"Mouse pancreatic islet scRNA-seq atlas across sexes, ages, and stress conditions including diabetes",islet of Langerhans;pancreas,type 1 diabetes mellitus;type 2 diabetes mellitus;normal;endocrine pancreas disorder,pancreas,Mus musculus
Human CellCards Multi-Study CellRef 1.0 Atlas,eb499fd8-7000-419f-8854-926b9b61b11f,Human CellCards Multi-Study CellRef 1.0 Atlas,lung,normal,lung,Homo sapiens
